"filename", "language", "Java", "comment", "blank", "total"
"/home/brandonef/Documents/Spring 2024/CSC 1351/sbrand-BasicGraphics/src/oldFinalProject/myGame.java", "Java", 3, 1, 0, 4
"Total", "-", 3, 1, 0, 4
