"filename", "language", "Java", "comment", "blank", "total"
"/home/brandonef/Documents/Spring 2024/CSC 1351/sbrand-BasicGraphics/src/oldFinalProject/myGame.java", "Java", 0, -65, -2, -67
"Total", "-", 0, -65, -2, -67
