"filename", "language", "Java", "comment", "blank", "total"
"/home/brandonef/Documents/Spring 2024/CSC 1351/sbrand-BasicGraphics/src/oldFinalProject/WeaverEnemy.java", "Java", 2, 0, 0, 2
"/home/brandonef/Documents/Spring 2024/CSC 1351/sbrand-BasicGraphics/src/oldFinalProject/myGame.java", "Java", 9, -10, -1, -2
"Total", "-", 11, -10, -1, 0
